,county,fips,SuicideDeathRate
0,"Abbeville County, SC",45001,17.59872340501681
1,"Acadia Parish, LA",22001,24.487298379002432
2,"Accomack County, VA",51001,30.327843993570497
3,"Ada County, ID",16001,18.19391954602716
4,"Adair County, IA",19001,16.223029213931838
5,"Adair County, KY",21001,28.221128217992536
6,"Adair County, MO",29001,13.06522734753694
7,"Adair County, OK",40001,24.58425165312453
8,"Adams County, CO",08001,17.503261508903257
9,"Adams County, IA",19003,17.506760788640417
10,"Adams County, ID",16003,19.632890202797512
11,"Adams County, IL",17001,16.41472550102219
12,"Adams County, IN",18001,13.02754783552721
13,"Adams County, MS",28001,24.32912439481303
14,"Adams County, ND",38001,18.65413884618634
15,"Adams County, NE",31001,31.658593725266723
16,"Adams County, OH",39001,16.139638318977305
17,"Adams County, PA",42001,10.753213744562295
18,"Adams County, WA",53001,11.260373619196685
19,"Adams County, WI",55001,49.63271788763153
20,"Addison County, VT",50001,18.126950247209596
21,"Adjuntas Municipio, PR",72001,
22,"Aguada Municipio, PR",72003,
23,"Aguadilla Municipio, PR",72005,
24,"Aguas Buenas Municipio, PR",72007,
25,"Aibonito Municipio, PR",72009,
26,"Aiken County, SC",45003,18.09092498899469
27,"Aitkin County, MN",27001,26.715575351309855
28,"Alachua County, FL",12001,12.694065332122909
29,"Alamance County, NC",37001,9.477115924081984
30,"Alameda County, CA",06001,9.034223224668313
31,"Alamosa County, CO",08003,30.70463618292398
32,"Albany County, NY",36001,10.34323374738591
33,"Albany County, WY",56001,25.14196862263165
34,"Albemarle County, VA",51003,11.35256331419165
35,"Alcona County, MI",26001,27.249075526212835
36,"Alcorn County, MS",28003,13.54549662251172
37,"Aleutians East Borough, AK",02013,29.280559430923716
38,"Aleutians West Census Area, AK",02016,29.280559430923716
39,"Alexander County, IL",17003,20.45419161065211
40,"Alexander County, NC",37003,19.35095990668703
41,"Alexandria city, VA",51510,7.165610281999336
42,"Alfalfa County, OK",40003,17.304031839418585
43,"Alger County, MI",26003,26.779736665922783
44,"Allamakee County, IA",19005,18.679406495075636
45,"Allegan County, MI",26005,20.06543075245365
46,"Allegany County, MD",24001,17.924112067063756
47,"Allegany County, NY",36003,14.116680783347451
48,"Alleghany County, NC",37005,22.5910042314069
49,"Alleghany County, VA",51005,20.989868588730197
50,"Allegheny County, PA",42003,14.466146373020148
51,"Allen County, IN",18003,13.02754783552721
52,"Allen County, KS",20001,20.29256855455631
53,"Allen County, KY",21003,13.576338342149063
54,"Allen County, OH",39003,17.23725161599234
55,"Allen Parish, LA",22003,27.96607961363012
56,"Allendale County, SC",45005,14.9466867270506
57,"Alpena County, MI",26007,32.730010146303144
58,"Alpine County, CA",06003,32.071774168739694
59,"Amador County, CA",06005,22.19465527806249
60,"Amelia County, VA",51007,25.258321607244987
61,"Amherst County, VA",51009,26.4811134145819
62,"Amite County, MS",28005,20.193390547939885
63,"Anchorage Municipality, AK",02020,24.03738145145276
64,"Anderson County, KS",20003,16.96135364949527
65,"Anderson County, KY",21005,16.134203334191586
66,"Anderson County, SC",45007,23.62706223162739
67,"Anderson County, TN",47001,21.12239105466739
68,"Anderson County, TX",48001,26.050712052796108
69,"Andrew County, MO",29003,25.813692480359148
70,"Andrews County, TX",48003,17.688197784867484
71,"Androscoggin County, ME",23001,19.583523728702918
72,"Angelina County, TX",48005,19.262364738541724
73,"Anne Arundel County, MD",24003,12.052570476519643
74,"Anoka County, MN",27003,15.981357020610139
75,"Anson County, NC",37007,15.195431795495796
76,"Antelope County, NE",31003,28.983598961703905
77,"Antrim County, MI",26009,17.460386747566456
78,"Apache County, AZ",04001,26.583093152754852
79,"Appanoose County, IA",19007,16.05897905348529
80,"Appling County, GA",13001,16.977772217882205
81,"Appomattox County, VA",51011,27.230149221217733
