"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	45	203709	22.1
	"Blount County, AL"	"01009"	10	57673	Unreliable
	"Calhoun County, AL"	"01015"	24	115620	20.8
	"Chilton County, AL"	"01021"	11	43943	Unreliable
	"Cullman County, AL"	"01043"	18	82005	Unreliable
	"DeKalb County, AL"	"01049"	12	71130	Unreliable
	"Elmore County, AL"	"01051"	13	81468	Unreliable
	"Etowah County, AL"	"01055"	15	103057	Unreliable
	"Houston County, AL"	"01069"	21	104173	20.2
	"Jackson County, AL"	"01071"	12	52419	Unreliable
	"Jefferson County, AL"	"01073"	97	660367	14.7
	"Lauderdale County, AL"	"01077"	12	92596	Unreliable
	"Lee County, AL"	"01081"	17	156993	Unreliable
	"Limestone County, AL"	"01083"	10	91663	Unreliable
	"Madison County, AL"	"01089"	59	353089	16.7
	"Marshall County, AL"	"01095"	18	94725	Unreliable
	"Mobile County, AL"	"01097"	66	415395	15.9
	"Montgomery County, AL"	"01101"	26	226519	11.5
	"Morgan County, AL"	"01103"	18	119565	Unreliable
	"Russell County, AL"	"01113"	10	59660	Unreliable
	"St. Clair County, AL"	"01115"	15	87074	Unreliable
	"Shelby County, AL"	"01117"	33	208713	15.8
	"Talladega County, AL"	"01121"	20	80862	24.7
	"Tuscaloosa County, AL"	"01125"	18	203976	Unreliable
	"Walker County, AL"	"01127"	15	65294	Unreliable
	"Anchorage Borough, AK"	"02020"	79	298695	26.4
	"Fairbanks North Star Borough, AK"	"02090"	18	99631	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	17	58059	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	19	101095	Unreliable
	"Wade Hampton Census Area, AK"	"02270"	16	8119	Unreliable
	"Apache County, AZ"	"04001"	19	71474	Unreliable
	"Cochise County, AZ"	"04003"	27	126427	21.4
	"Coconino County, AZ"	"04005"	33	139097	23.7
	"Gila County, AZ"	"04007"	18	53159	Unreliable
	"Maricopa County, AZ"	"04013"	673	4167947	16.1
	"Mohave County, AZ"	"04015"	74	204737	36.1
	"Navajo County, AZ"	"04017"	29	108277	26.8
	"Pima County, AZ"	"04019"	202	1010025	20.0
	"Pinal County, AZ"	"04021"	71	406584	17.5
	"Yavapai County, AZ"	"04025"	79	222255	35.5
	"Yuma County, AZ"	"04027"	34	204275	16.6
	"Baxter County, AR"	"05005"	17	41053	Unreliable
	"Benton County, AR"	"05007"	49	249672	19.6
	"Conway County, AR"	"05029"	11	21019	Unreliable
	"Craighead County, AR"	"05031"	18	104354	Unreliable
	"Crawford County, AR"	"05033"	18	61703	Unreliable
	"Faulkner County, AR"	"05045"	20	121552	16.5
	"Garland County, AR"	"05051"	36	97177	37.0
	"Greene County, AR"	"05055"	13	44196	Unreliable
	"Hot Spring County, AR"	"05059"	11	33426	Unreliable
	"Jefferson County, AR"	"05069"	10	71565	Unreliable
