,county,fips,Neighbors,Neighbor Code
0,"Abbeville County, SC",45001,"Elbert County, GA, Abbeville County, SC, Anderson County, SC, Greenville County, SC, Greenwood County, SC, Laurens County, SC, McCormick County, SC","13105, 45001, 45007, 45045, 45047, 45059, 45065"
1,"Acadia Parish, LA",22001,"Acadia Parish, LA, Evangeline Parish, LA, Jefferson Davis Parish, LA, Lafayette Parish, LA, St. Landry Parish, LA, Vermilion Parish, LA","22001, 22039, 22053, 22055, 22097, 22113"
2,"Accomack County, VA",51001,"Somerset County, MD, Worcester County, MD, Accomack County, VA, Lancaster County, VA, Mathews County, VA, Middlesex County, VA, Northampton County, VA, Northumberland County, VA","24039, 24047, 51001, 51103, 51115, 51119, 51131, 51133"
3,"Ada County, ID",16001,"Ada County, ID, Boise County, ID, Canyon County, ID, Elmore County, ID, Gem County, ID, Owyhee County, ID","16001, 16015, 16027, 16039, 16045, 16073"
4,"Adair County, IA",19001,"Adair County, IA, Adams County, IA, Audubon County, IA, Cass County, IA, Dallas County, IA, Guthrie County, IA, Madison County, IA, Union County, IA","19001, 19003, 19009, 19029, 19049, 19077, 19121, 19175"
5,"Adair County, KY",21001,"Adair County, KY, Casey County, KY, Cumberland County, KY, Green County, KY, Metcalfe County, KY, Russell County, KY, Taylor County, KY","21001, 21045, 21057, 21087, 21169, 21207, 21217"
6,"Adair County, MO",29001,"Adair County, MO, Knox County, MO, Linn County, MO, Macon County, MO, Putnam County, MO, Schuyler County, MO, Scotland County, MO, Sullivan County, MO","29001, 29103, 29115, 29121, 29171, 29197, 29199, 29211"
7,"Adair County, OK",40001,"Benton County, AR, Crawford County, AR, Washington County, AR, Adair County, OK, Cherokee County, OK, Delaware County, OK, Sequoyah County, OK","05007, 05033, 05143, 40001, 40021, 40041, 40135"
8,"Adams County, CO",08001,"Adams County, CO, Arapahoe County, CO, Broomfield County, CO, Denver County, CO, Jefferson County, CO, Morgan County, CO, Washington County, CO, Weld County, CO","08001, 08005, 08014, 08031, 08059, 08087, 08121, 08123"
9,"Adams County, IA",19003,"Adair County, IA, Adams County, IA, Cass County, IA, Montgomery County, IA, Page County, IA, Ringgold County, IA, Taylor County, IA, Union County, IA","19001, 19003, 19029, 19137, 19145, 19159, 19173, 19175"
10,"Adams County, ID",16003,"Adams County, ID, Gem County, ID, Idaho County, ID, Valley County, ID, Washington County, ID, Baker County, OR, Wallowa County, OR","16003, 16045, 16049, 16085, 16087, 41001, 41063"
11,"Adams County, IL",17001,"Adams County, IL, Brown County, IL, Hancock County, IL, Pike County, IL, Schuyler County, IL, Lewis County, MO, Marion County, MO","17001, 17009, 17067, 17149, 17169, 29111, 29127"
12,"Adams County, IN",18001,"Adams County, IN, Allen County, IN, Jay County, IN, Wells County, IN, Mercer County, OH, Van Wert County, OH","18001, 18003, 18075, 18179, 39107, 39161"
13,"Adams County, MS",28001,"Concordia Parish, LA, Tensas Parish, LA, Adams County, MS, Franklin County, MS, Jefferson County, MS, Wilkinson County, MS","22029, 22107, 28001, 28037, 28063, 28157"
14,"Adams County, ND",38001,"Adams County, ND, Bowman County, ND, Grant County, ND, Hettinger County, ND, Sioux County, ND, Slope County, ND, Corson County, SD, Harding County, SD, Perkins County, SD","38001, 38011, 38037, 38041, 38085, 38087, 46031, 46063, 46105"
15,"Adams County, NE",31001,"Adams County, NE, Buffalo County, NE, Clay County, NE, Hall County, NE, Hamilton County, NE, Kearney County, NE, Webster County, NE","31001, 31019, 31035, 31079, 31081, 31099, 31181"
16,"Adams County, OH",39001,"Lewis County, KY, Mason County, KY, Adams County, OH, Brown County, OH, Highland County, OH, Pike County, OH, Scioto County, OH","21135, 21161, 39001, 39015, 39071, 39131, 39145"
17,"Adams County, PA",42001,"Carroll County, MD, Frederick County, MD, Adams County, PA, Cumberland County, PA, Franklin County, PA, York County, PA","24013, 24021, 42001, 42041, 42055, 42133"
18,"Adams County, WA",53001,"Adams County, WA, Franklin County, WA, Grant County, WA, Lincoln County, WA, Whitman County, WA","53001, 53021, 53025, 53043, 53075"
19,"Adams County, WI",55001,"Adams County, WI, Columbia County, WI, Juneau County, WI, Marquette County, WI, Portage County, WI, Sauk County, WI, Waushara County, WI, Wood County, WI","55001, 55021, 55057, 55077, 55097, 55111, 55137, 55141"
20,"Addison County, VT",50001,"Essex County, NY, Washington County, NY, Addison County, VT, Chittenden County, VT, Orange County, VT, Rutland County, VT, Washington County, VT, Windsor County, VT","36031, 36115, 50001, 50007, 50017, 50021, 50023, 50027"
21,"Adjuntas Municipio, PR",72001,"Adjuntas Municipio, PR, Guayanilla Municipio, PR, Lares Municipio, PR, Peñuelas Municipio, PR, Ponce Municipio, PR, Utuado Municipio, PR, Yauco Municipio, PR","72001, 72059, 72081, 72111, 72113, 72141, 72153"
